A,0
B,215
C,358
D,614
E,720
F,842
G,915
H,1023
I,1259
J,1316
K,1330
L,1364
M,1489
N,1644
O,1732
P,1809
Q,2099
R,2102
S,2204
T,2396
U,2545
V,2603
W,2677
X,2697
Y,2701
Z,2701
